Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3
"X_39575",0.415,1,234.5,-34.6,0.97871,0,0,0,0,0,0,0,0
"X_39575_1",0.415,1,233.768,-34.6,0.97566,0,0,0,0,0,0,0,0
"X_39575_2",0.415,1,233.768,-34.6,0.97566,0,0,0,0,0,0,0,0
"X_6583",0.415,1,235.429,-35.0,0.98259,0,0,0,0,0,0,0,0
"X_6583_1",0.415,1,234.617,-35.0,0.9792,0,0,0,0,0,0,0,0
"X_6583_2",0.415,1,234.617,-35.0,0.9792,0,0,0,0,0,0,0,0
"X_1144236",0.415,2,237.048,-154.9,0.98935,0,0,0,0,0,0,0,0
"X_1144236_1",0.415,2,236.334,-154.9,0.98637,0,0,0,0,0,0,0,0
"X_1144236_2",0.415,2,236.334,-154.9,0.98637,0,0,0,0,0,0,0,0
"X_789",0.415,2,237.402,-155.0,0.99082,0,0,0,0,0,0,0,0
"X_789_1",0.415,2,236.801,-155.0,0.98832,0,0,0,0,0,0,0,0
"X_789_2",0.415,2,236.801,-155.0,0.98832,0,0,0,0,0,0,0,0
"X_789_3",0.415,2,236.801,-155.0,0.98832,0,0,0,0,0,0,0,0
"X_836",0.415,2,235.66,-155.3,0.98355,0,0,0,0,0,0,0,0
"X_836_1",0.415,2,235.122,-155.3,0.98131,0,0,0,0,0,0,0,0
"X_836_2",0.415,2,235.122,-155.3,0.98131,0,0,0,0,0,0,0,0
"X_836_3",0.415,2,235.122,-155.3,0.98131,0,0,0,0,0,0,0,0
"X_28240",0.415,3,238.317,85.2,0.99464,0,0,0,0,0,0,0,0
"X_28240_1",0.415,3,237.69,85.2,0.99203,0,0,0,0,0,0,0,0
"X_28240_2",0.415,3,237.69,85.2,0.99203,0,0,0,0,0,0,0,0
"X_28240_3",0.415,3,237.69,85.2,0.99203,0,0,0,0,0,0,0,0
"X_14837",0.415,3,238.667,85.0,0.9961,0,0,0,0,0,0,0,0
"X_14837_1",0.415,3,237.75,85.0,0.99228,0,0,0,0,0,0,0,0
"X_14837_2",0.415,3,237.75,85.0,0.99228,0,0,0,0,0,0,0,0
"X_1012414",0.415,3,238.658,85.2,0.99607,0,0,0,0,0,0,0,0
"X_1012414_1",0.415,3,238.262,85.2,0.99441,0,0,0,0,0,0,0,0
"X_1012414_2",0.415,3,238.262,85.2,0.99441,0,0,0,0,0,0,0,0
"X_14844",0.415,3,241.415,85.4,1.0076,0,0,0,0,0,0,0,0
"X_14844_1",0.415,3,240.987,85.4,1.0058,0,0,0,0,0,0,0,0
"X_74434",0.415,1,237.154,-34.8,0.98979,0,0,0,0,0,0,0,0
"X_74434_1",0.415,1,236.611,-34.8,0.98752,0,0,0,0,0,0,0,0
"X_6578",0.415,1,236.787,-34.9,0.98826,0,0,0,0,0,0,0,0
"X_6578_1",0.415,1,236.267,-34.8,0.98609,0,0,0,0,0,0,0,0
"X_6578_2",0.415,1,236.267,-34.8,0.98609,0,0,0,0,0,0,0,0
"X_6578_3",0.415,1,236.267,-34.8,0.98609,0,0,0,0,0,0,0,0
"X_62249",0.415,2,237.402,-154.8,0.99082,0,0,0,0,0,0,0,0
"X_62249_1",0.415,2,236.262,-154.8,0.98607,0,0,0,0,0,0,0,0
"X_39590",0.415,1,234.853,-34.5,0.98019,0,0,0,0,0,0,0,0
"X_39590_1",0.415,1,234.223,-34.5,0.97756,0,0,0,0,0,0,0,0
"X_39590_2",0.415,1,234.223,-34.5,0.97756,0,0,0,0,0,0,0,0
"X_28233",0.415,3,238.662,85.2,0.99609,0,0,0,0,0,0,0,0
"X_28233_1",0.415,3,238.108,85.2,0.99377,0,0,0,0,0,0,0,0
"X_28233_2",0.415,3,238.108,85.2,0.99377,0,0,0,0,0,0,0,0
"X_28233_3",0.415,3,238.108,85.2,0.99377,0,0,0,0,0,0,0,0
"X_28292",0.415,2,234.919,-155.3,0.98046,0,0,0,0,0,0,0,0
